,ANO,UF,RACACOR,TOTAL_POPULATION,PERCENTAGE_TOTAL_POPULATION,TOTAL_SUICIDALS,PERCENTAGE_TOTAL_SUICIDALS,PERCENTAGE_SUICIDALS
129,2021,Roraima,Preta,40740,0.0729166666666666,1,0.0227272727272727,2.454590083456063e-05
130,2021,Pará,Preta,786150,0.09,20,0.0536193029490616,2.54404375755263e-05
131,2021,Amapá,Preta,60830,0.0707070707070707,1,0.0208333333333333,1.643925694558606e-05
132,2021,Tocantins,Preta,191280,0.1212121212121212,19,0.1217948717948717,9.933082392304475e-05
133,2021,Maranhão,Preta,782980,0.1111111111111111,36,0.1107692307692307,4.5978185905131674e-05
134,2021,Piauí,Preta,263120,0.08,24,0.0683760683760683,9.121313469139557e-05
135,2021,Ceará,Preta,554280,0.06,11,0.0139064475347661,1.9845565418200186e-05
136,2021,Rio Grande do Norte,Preta,284880,0.0808080808080808,6,0.0256410256410256,2.106149957877001e-05
137,2021,Paraíba,Preta,282660,0.0707070707070707,6,0.0234375,2.1226915729144554e-05
138,2021,Pernambuco,Preta,673120,0.0714285714285714,18,0.034090909090909,2.6741145709531734e-05
139,2021,Alagoas,Preta,201480,0.0606060606060606,1,0.0068965517241379,4.963271788763152e-06
140,2021,Sergipe,Preta,233800,0.101010101010101,7,0.056,2.994011976047904e-05
141,2021,Bahia,Preta,3292520,0.22,85,0.1073232323232323,2.581609223330458e-05
142,2021,Minas Gerais,Preta,2140100,0.1,149,0.0900302114803625,6.962291481706462e-05
143,2021,Espírito Santo,Preta,492600,0.1212121212121212,12,0.06,2.43605359317905e-05
144,2021,RJ,Preta,2444820,0.1414141414141414,85,0.0974770642201834,3.4767385738009345e-05
145,2021,SP,Preta,3265010,0.0714285729912131,115,0.0474031327287716,3.5221944190063734e-05
146,2021,Paraná,Preta,463360,0.04,27,0.026137463697967,5.827002762430939e-05
147,2021,Santa Catarina,Preta,219810,0.03,18,0.022140221402214,8.188890405350075e-05
148,2021,Rio Grande do Sul,Preta,686880,0.06,68,0.0462270564242012,9.899836943862102e-05
149,2021,Mato Grosso do Sul,Preta,166080,0.0606060606060606,15,0.0511945392491467,9.03179190751445e-05
150,2021,Mato Grosso,Preta,351200,0.101010130062047,20,0.0816326530612244,5.6947608200455584e-05
151,2021,Goiás,Preta,576720,0.0808080808080808,37,0.0592948717948717,6.415591621584131e-05
152,2021,Distrito Federal,Preta,340120,0.1111111111111111,10,0.053763440860215,2.940138774550159e-05
153,2019,Rondônia,Parda,1130880,0.6464646464646465,87,0.6541353383458647,7.693123938879457e-05
154,2019,Acre,Parda,640100,0.7551020408163265,49,0.7538461538461538,7.655053897828464e-05
155,2019,Roraima,Parda,351000,0.6989247311827957,25,0.625,7.122507122507122e-05
156,2019,Pará,Parda,6163920,0.7346938775510204,269,0.8328173374613003,4.36410595854586e-05
157,2019,Amapá,Parda,620120,0.74,55,0.9166666666666666,8.869251112687867e-05
158,2019,Tocantins,Parda,1029600,0.673469387755102,86,0.688,8.352758352758353e-05
159,2019,Maranhão,Parda,4858290,0.69,227,0.7773972602739726,4.672425894707809e-05
160,2019,Piauí,Parda,2323120,0.71,200,0.6622516556291391,8.609111884018045e-05
161,2019,Ceará,Parda,6025140,0.6666666666666666,485,0.8151260504201681,8.049605486345545e-05
162,2019,Rio Grande do Norte,Parda,1858710,0.5353535353535354,143,0.7409326424870466,7.693507862980238e-05
163,2019,Paraíba,Parda,2398200,0.6060606060606061,191,0.8721461187214612,7.964306563255775e-05
164,2019,Pernambuco,Parda,5794390,0.6161616161616161,315,0.7429245283018868,5.4362926899984296e-05
165,2019,Alagoas,Parda,2264400,0.6868686868686869,110,0.9734513274336284,4.857798975446034e-05
166,2019,Sergipe,Parda,1586309,0.6969695638286141,99,0.8839285714285714,6.24090262363764e-05
167,2019,Bahia,Parda,8615320,0.5858585858585859,451,0.7381342062193126,5.234860690026604e-05
168,2019,Minas Gerais,Parda,10579000,0.5050505050505051,725,0.4404617253948967,6.8531997353247e-05
169,2019,Espírito Santo,Parda,2047650,0.51,130,0.5882352941176471,6.348741239958e-05
170,2019,RJ,Parda,7078240,0.41,229,0.4156079854809437,3.235267524130292e-05
171,2019,SP,Parda,15151290,0.3367347013614191,580,0.2592758158247653,3.82805688492531e-05
172,2019,Paraná,Parda,3654720,0.3232323232323232,150,0.1670378619153674,4.1042815865510904e-05
173,2019,Santa Catarina,Parda,1216010,0.17,61,0.0789133247089262,5.0164061150812905e-05
174,2019,Rio Grande do Sul,Parda,1703850,0.15,75,0.0532292405961674,4.401795932740558e-05
175,2019,Mato Grosso do Sul,Parda,1327410,0.5,130,0.4961832061068702,9.793507657769642e-05
176,2019,Mato Grosso,Parda,2024290,0.5959595959595959,132,0.584070796460177,6.520804825395571e-05
177,2019,Goiás,Parda,3861550,0.5555555555555556,330,0.5978260869565217,8.545791197835066e-05
178,2019,Distrito Federal,Parda,1476370,0.49,104,0.5306122448979592,7.044304611987509e-05
179,2020,Rondônia,Parda,1107320,0.6262626262626263,75,0.5555555555555556,6.773109850810967e-05
180,2020,Acre,Parda,676060,0.7857142857142857,54,0.782608695652174,7.987456734609354e-05
181,2020,Amazonas,Parda,3316080,0.845360824742268,224,0.7202572347266881,6.754963692070155e-05
182,2020,Roraima,Parda,388469,0.7340420506444402,16,0.5925925925925926,4.11873276889533e-05
183,2020,Pará,Parda,6486750,0.7575757575757576,308,0.8415300546448088,4.7481404401279535e-05
184,2020,Amapá,Parda,673870,0.79,38,0.8636363636363636,5.6390698502678557e-05
185,2020,Tocantins,Parda,1056590,0.6836734693877551,66,0.6226415094339622,6.246509999148203e-05
186,2020,Maranhão,Parda,5097600,0.72,223,0.7559322033898305,4.3746076585059635e-05
187,2020,Piauí,Parda,2362320,0.72,232,0.760655737704918,9.820854075654442e-05
188,2020,Ceará,Parda,6336959,0.696969663640946,472,0.8458781362007168,7.448367584514906e-05
189,2020,Rio Grande do Norte,Parda,1908360,0.5454545454545454,144,0.6728971962616822,7.545746085644218e-05
190,2020,Paraíba,Parda,2491160,0.62,207,0.8697478991596639,8.309381974662407e-05
191,2020,Pernambuco,Parda,6022170,0.6428571428571429,318,0.7482352941176471,5.2804885946427946e-05
192,2020,Alagoas,Parda,2273920,0.6868686868686869,157,0.9936708860759492,6.904376583169153e-05
193,2020,Sergipe,Parda,1669680,0.72,109,0.8515625,6.528197019788223e-05
194,2020,Bahia,Parda,8648380,0.5858585858585859,536,0.7734487734487735,6.197692515823773e-05
195,2020,Minas Gerais,Parda,10641000,0.5,644,0.4222950819672131,6.052062776054882e-05
196,2020,Espírito Santo,Parda,2111200,0.52,129,0.5944700460829493,6.110269041303524e-05
197,2020,RJ,Parda,7293720,0.42,251,0.3378196500672947,3.4413166395200255e-05
198,2020,SP,Parda,14810560,0.3265306122448979,614,0.2788374205267938,4.145690642352484e-05
199,2020,Paraná,Parda,3450900,0.3061224489795918,195,0.2228571428571428,5.650699817438929e-05
200,2020,Santa Catarina,Parda,1013740,0.14,72,0.0969044414535666,7.102412847475684e-05
201,2020,Rio Grande do Sul,Parda,1482520,0.13,59,0.0417551309271054,3.9797102231335836e-05
202,2020,Mato Grosso do Sul,Parda,1342110,0.5,120,0.5042016806722689,8.941144913606187e-05
203,2020,Mato Grosso,Parda,2083200,0.6,116,0.5225225225225225,5.568356374807988e-05
204,2020,Goiás,Parda,4056119,0.5699999395727852,330,0.5935251798561151,8.135855974639797e-05
205,2020,Distrito Federal,Parda,1557030,0.5151515151515151,90,0.466321243523316,5.780235448257259e-05
206,2021,Rondônia,Parda,1101050,0.6161616161616161,88,0.6153846153846154,7.992370918668544e-05
207,2021,Acre,Parda,685300,0.7777777777777778,53,0.828125,7.733839194513352e-05
208,2021,Amazonas,Parda,3283200,0.8247422680412371,202,0.6870748299319728,6.152534113060429e-05
209,2021,Roraima,Parda,395760,0.7083333333333334,24,0.5454545454545454,6.0642813826561554e-05
210,2021,Pará,Parda,6463900,0.74,317,0.8498659517426274,4.904160027228144e-05
211,2021,Amapá,Parda,669130,0.7777777777777778,46,0.9583333333333334,6.874598359063261e-05
212,2021,Tocantins,Parda,1083920,0.6868686868686869,110,0.7051282051282052,0.00010148350431766181
213,2021,Maranhão,Parda,5053780,0.7171717171717171,230,0.7076923076923077,4.551048917839716e-05
214,2021,Piauí,Parda,2368080,0.72,270,0.7692307692307693,0.00011401641836424445
215,2021,Ceará,Parda,6281840,0.68,683,0.8634639696586599,0.00010872610572698445
216,2021,Rio Grande do Norte,Parda,1851720,0.5252525252525253,183,0.782051282051282,9.882703648499773e-05
217,2021,Paraíba,Parda,2422800,0.6060606060606061,216,0.84375,8.915304606240714e-05
218,2021,Pernambuco,Parda,5769600,0.6122448979591837,392,0.7424242424242424,6.794231835829174e-05
219,2021,Alagoas,Parda,2182700,0.6565656565656566,142,0.9793103448275862,6.505703944655702e-05
220,2021,Sergipe,Parda,1566460,0.6767676767676768,107,0.856,6.830688303563449e-05
221,2021,Bahia,Parda,8829940,0.59,597,0.7537878787878788,6.761087844311514e-05
222,2021,Minas Gerais,Parda,10272480,0.48,730,0.4410876132930513,7.106365746148934e-05
223,2021,Espírito Santo,Parda,2134600,0.5252525252525253,123,0.615,5.7622036915581376e-05
224,2021,RJ,Parda,6985200,0.404040404040404,336,0.3853211009174312,4.810170073870469e-05
225,2021,SP,Parda,15392190,0.3367347012442906,631,0.2600989282769991,4.0994816202242824e-05
226,2021,Paraná,Parda,3475200,0.3,256,0.2478218780251694,7.366482504604051e-05
227,2021,Santa Catarina,Parda,1099050,0.15,75,0.092250922509225,6.82407533779173e-05
228,2021,Rio Grande do Sul,Parda,1488240,0.13,77,0.0523453433038749,5.1738966833306454e-05
229,2021,Mato Grosso do Sul,Parda,1384000,0.5050505050505051,149,0.5085324232081911,0.00010765895953757226
230,2021,Mato Grosso,Parda,2107200,0.6060607803722822,138,0.563265306122449,6.548974943052391e-05
231,2021,Goiás,Parda,4253310,0.5959595959595959,388,0.6217948717948718,9.122307097295988e-05
232,2021,Distrito Federal,Parda,1546000,0.5050505050505051,102,0.5483870967741935,6.597671410090556e-05
