,ANO,UF,RACACOR,TOTAL_PESSOAS,CENSO_total/sum_pessoas_racacor
138,2021,RR,Preta,40740,0.07291666666666667
139,2021,PA,Preta,786150,0.09
140,2021,AP,Preta,60830,0.0707070707070707
141,2021,TO,Preta,191280,0.12121212121212122
142,2021,MA,Preta,782980,0.1111111111111111
143,2021,PI,Preta,263120,0.08
144,2021,CE,Preta,554280,0.06
145,2021,RN,Preta,284880,0.08080808080808081
146,2021,PB,Preta,282660,0.0707070707070707
147,2021,PE,Preta,673120,0.07142857142857142
148,2021,AL,Preta,201480,0.06060606060606061
149,2021,SE,Preta,233800,0.10101010101010101
150,2021,BA,Preta,3292520,0.22
151,2021,MG,Preta,2140100,0.1
152,2021,ES,Preta,492600,0.12121212121212122
153,2021,RJ,Preta,2444820,0.1414141414141414
154,2021,SP,Preta,3265010,0.07142857299121318
155,2021,PR,Preta,463360,0.04
156,2021,SC,Preta,219810,0.03
157,2021,RS,Preta,686880,0.06
158,2021,MS,Preta,166080,0.06060606060606061
159,2021,MT,Preta,351200,0.10101013006204702
160,2021,GO,Preta,576720,0.08080808080808081
161,2021,DF,Preta,340120,0.1111111111111111
162,2019,RO,Parda,1130880,0.6464646464646465
163,2019,AC,Parda,640100,0.7551020408163265
164,2019,AM,Parda,3146570,0.8061224489795918
165,2019,RR,Parda,351000,0.6989247311827957
166,2019,PA,Parda,6163920,0.7346938775510204
167,2019,AP,Parda,620120,0.74
168,2019,TO,Parda,1029600,0.673469387755102
169,2019,MA,Parda,4858290,0.69
170,2019,PI,Parda,2323120,0.71
171,2019,CE,Parda,6025140,0.6666666666666666
172,2019,RN,Parda,1858710,0.5353535353535354
173,2019,PB,Parda,2398200,0.6060606060606061
174,2019,PE,Parda,5794390,0.6161616161616161
175,2019,AL,Parda,2264400,0.6868686868686869
176,2019,SE,Parda,1586309,0.6969695638286141
177,2019,BA,Parda,8615320,0.5858585858585859
178,2019,MG,Parda,10579000,0.5050505050505051
179,2019,ES,Parda,2047650,0.51
180,2019,RJ,Parda,7078240,0.41
181,2019,SP,Parda,15151290,0.33673470136141914
182,2019,PR,Parda,3654720,0.32323232323232326
183,2019,SC,Parda,1216010,0.17
184,2019,RS,Parda,1703850,0.15
185,2019,MS,Parda,1327410,0.5
186,2019,MT,Parda,2024290,0.5959595959595959
187,2019,GO,Parda,3861550,0.5555555555555556
188,2019,DF,Parda,1476370,0.49
189,2020,RO,Parda,1107320,0.6262626262626263
190,2020,AC,Parda,676060,0.7857142857142857
191,2020,AM,Parda,3316080,0.845360824742268
192,2020,RR,Parda,388469,0.7340420506444402
193,2020,PA,Parda,6486750,0.7575757575757576
194,2020,AP,Parda,673870,0.79
195,2020,TO,Parda,1056590,0.6836734693877551
196,2020,MA,Parda,5097600,0.72
