,ANO,UF,RACACOR,TOTAL_PESSOAS,sim_total/sum_pessoas_racacor
136,2020,MG,Parda,644,0.4222950819672131
137,2020,MG,Preta,141,0.09245901639344262
138,2020,MS,Amarela,2,0.008403361344537815
139,2020,MS,Branca,76,0.31932773109243695
140,2020,MS,Indígena,32,0.13445378151260504
141,2020,MS,Parda,120,0.5042016806722689
142,2020,MS,Preta,8,0.03361344537815126
143,2020,MT,Amarela,1,0.0045045045045045045
144,2020,MT,Branca,90,0.40540540540540543
145,2020,MT,Indígena,4,0.018018018018018018
146,2020,MT,Parda,116,0.5225225225225225
147,2020,MT,Preta,11,0.04954954954954955
148,2020,PA,Branca,37,0.10109289617486339
149,2020,PA,Indígena,1,0.00273224043715847
150,2020,PA,Parda,308,0.8415300546448088
151,2020,PA,Preta,20,0.0546448087431694
152,2020,PB,Branca,28,0.11764705882352941
153,2020,PB,Indígena,2,0.008403361344537815
154,2020,PB,Parda,207,0.8697478991596639
155,2020,PB,Preta,1,0.004201680672268907
156,2020,PE,Amarela,1,0.002352941176470588
157,2020,PE,Branca,85,0.2
158,2020,PE,Indígena,3,0.007058823529411765
159,2020,PE,Parda,318,0.7482352941176471
160,2020,PE,Preta,18,0.042352941176470586
161,2020,PI,Branca,51,0.16721311475409836
162,2020,PI,Parda,232,0.760655737704918
163,2020,PI,Preta,22,0.07213114754098361
164,2020,PR,Amarela,5,0.005714285714285714
165,2020,PR,Branca,649,0.7417142857142857
166,2020,PR,Indígena,4,0.004571428571428572
167,2020,PR,Parda,195,0.22285714285714286
168,2020,PR,Preta,22,0.025142857142857144
169,2020,RJ,Amarela,2,0.0026917900403768506
170,2020,RJ,Branca,397,0.5343203230148048
171,2020,RJ,Parda,251,0.33781965006729475
172,2020,RJ,Preta,93,0.12516823687752354
173,2020,RN,Branca,68,0.3177570093457944
174,2020,RN,Parda,144,0.6728971962616822
175,2020,RN,Preta,2,0.009345794392523364
176,2020,RO,Amarela,1,0.007407407407407408
177,2020,RO,Branca,52,0.3851851851851852
178,2020,RO,Indígena,1,0.007407407407407408
179,2020,RO,Parda,75,0.5555555555555556
180,2020,RO,Preta,6,0.044444444444444446
181,2020,RR,Branca,3,0.1111111111111111
182,2020,RR,Indígena,8,0.2962962962962963
183,2020,RR,Parda,16,0.5925925925925926
184,2020,RS,Amarela,2,0.0014154281670205238
185,2020,RS,Branca,1290,0.9129511677282378
186,2020,RS,Parda,59,0.04175513092710545
187,2020,RS,Preta,62,0.043878273177636234
188,2020,SC,Branca,655,0.8815612382234186
189,2020,SC,Indígena,2,0.0026917900403768506
190,2020,SC,Parda,72,0.09690444145356662
191,2020,SC,Preta,14,0.018842530282637954
192,2020,SE,Branca,16,0.125
193,2020,SE,Parda,109,0.8515625
194,2020,SE,Preta,3,0.0234375
195,2020,SP,Amarela,19,0.00862851952770209
196,2020,SP,Branca,1454,0.6603088101725704
197,2020,SP,Indígena,2,0.0009082652134423251
198,2020,SP,Parda,614,0.27883742052679383
199,2020,SP,Preta,113,0.05131698455949137
200,2020,TO,Branca,23,0.2169811320754717
201,2020,TO,Indígena,1,0.009433962264150943
202,2020,TO,Parda,66,0.6226415094339622
203,2020,TO,Preta,16,0.1509433962264151
204,2021,AC,Branca,8,0.125
205,2021,AC,Indígena,3,0.046875
206,2021,AC,Parda,53,0.828125
207,2021,AL,Branca,2,0.013793103448275862
208,2021,AL,Parda,142,0.9793103448275862
209,2021,AL,Preta,1,0.006896551724137931
210,2021,AM,Amarela,1,0.003401360544217687
211,2021,AM,Branca,33,0.11224489795918367
212,2021,AM,Indígena,55,0.1870748299319728
213,2021,AM,Parda,202,0.6870748299319728
214,2021,AM,Preta,3,0.01020408163265306
215,2021,AP,Branca,1,0.020833333333333332
216,2021,AP,Parda,46,0.9583333333333334
217,2021,AP,Preta,1,0.020833333333333332
218,2021,BA,Amarela,5,0.006313131313131313
219,2021,BA,Branca,105,0.13257575757575757
220,2021,BA,Parda,597,0.7537878787878788
221,2021,BA,Preta,85,0.10732323232323232
222,2021,CE,Branca,96,0.1213653603034134
223,2021,CE,Indígena,1,0.0012642225031605564
224,2021,CE,Parda,683,0.8634639696586599
225,2021,CE,Preta,11,0.01390644753476612
226,2021,DF,Branca,74,0.3978494623655914
227,2021,DF,Parda,102,0.5483870967741935
228,2021,DF,Preta,10,0.053763440860215055
229,2021,ES,Amarela,1,0.005
230,2021,ES,Branca,64,0.32
231,2021,ES,Parda,123,0.615
232,2021,ES,Preta,12,0.06
233,2021,GO,Amarela,1,0.0016025641025641025
234,2021,GO,Branca,196,0.3141025641025641
