uf,total_pessoas,perc_branca,perc_preta,perc_parda,perc_preta_ou_parda,ano
RO,1805,30.2,8.2,60.9,69.2,2021
AC,890,15.6,6.0,77.0,83.1,2021
AM,4104,14.3,3.0,80.1,83.2,2021
RR,582,20.6,6.6,67.8,74.4,2021
PA,8735,16.6,8.9,73.5,82.4,2021
AP,869,15.0,7.2,77.3,84.5,2021
TO,1594,19.1,11.7,67.8,79.4,2021
MA,7118,17.0,10.9,71.2,82.2,2021
PI,3289,19.9,8.4,71.5,79.9,2021
CE,9238,25.5,6.0,67.7,73.7,2021
RN,3561,39.1,8.3,52.3,60.6,2021
PB,4038,32.3,7.2,59.9,67.1,2021
PE,9616,31.2,7.4,60.4,67.9,2021
AL,3358,28.3,6.2,64.6,70.8,2021
SE,2338,22.0,10.3,67.3,77.7,2021
BA,14966,18.7,21.5,58.9,80.4,2021
MG,21401,41.8,10.3,47.7,58.0,2021
ES,4105,35.2,12.3,52.0,64.2,2021
RJ,17463,44.8,14.2,40.2,54.4,2021
SP,46643,58.4,7.2,32.8,40.0,2021
PR,11584,65.5,3.7,29.8,33.5,2021
SC,7327,81.5,3.4,14.7,18.0,2021
RS,11448,80.8,5.7,13.2,18.9,2021
MS,2768,43.0,6.1,49.6,55.7,2021
MT,3512,29.4,9.7,59.8,69.4,2021
GO,7209,32.5,8.3,58.7,67.0,2021
DF,3092,38.1,10.8,50.1,60.9,2021
