uf,total_pessoas,perc_branca,perc_preta,perc_parda,perc_preta_ou_parda,ano
RO,1767,28.3,7.1,63.5,70.6,2019
AC,865,18.3,6.0,74.2,80.1,2019
AM,3983,15.5,3.3,78.8,82.1,2019
RR,540,19.8,8.5,65.1,73.6,2019
PA,8561,18.4,8.3,72.3,80.7,2019
AP,838,18.3,7.6,73.6,81.2,2019
TO,1560,19.9,12.3,66.2,78.4,2019
MA,7041,17.7,12.8,68.6,81.4,2019
PI,3272,18.8,10.4,70.6,81.0,2019
CE,9129,26.9,5.9,66.5,72.3,2019
RN,3507,38.3,8.1,53.3,61.5,2019
PB,3997,32.1,7.0,60.4,67.3,2019
PE,9499,31.0,7.2,60.6,67.9,2019
AL,3330,25.0,5.6,68.3,73.9,2019
SE,2299,20.0,9.9,69.2,79.2,2019
BA,14854,18.5,22.8,57.6,80.3,2019
MG,21158,38.3,11.4,50.1,61.5,2019
ES,4015,37.6,10.6,51.1,61.7,2019
RJ,17264,44.8,14.0,40.7,54.7,2019
SP,45913,57.2,7.8,33.2,41.0,2019
PR,11421,62.7,4.1,31.8,35.9,2019
SC,7153,79.5,3.1,16.7,19.9,2019
RS,11359,78.6,6.4,14.7,21.1,2019
MS,2709,42.9,5.9,49.4,55.3,2019
MT,3431,28.4,11.6,58.7,70.4,2019
GO,7021,35.1,8.8,55.2,64.0,2019
DF,3013,39.7,10.7,48.6,59.3,2019
