,ANO,UF,ESTADO,RACACOR,TOTAL_POPULATION,PERCENTAGE_OF_TOTAL,TOTAL_SUICIDALS,percentage_of_total
74,2021,RS,Rio Grande do Sul,Branca,9249984.0,81.04312938816449,1324,90.00679809653298
75,2021,MS,Mato Grosso do Sul,Branca,1190240.0,43.56636271529889,96,32.76450511945392
76,2021,MT,Mato Grosso,Branca,1032528.0,29.726996966632964,82,33.46938775510204
77,2021,GO,Goiás,Branca,2342925.0,32.663316582914575,196,31.41025641025641
78,2021,DF,Distrito Federal,Branca,1178052.0,38.48484848484848,74,39.784946236559136
79,2019,RO,Rondônia,Preta,125457.0,7.17896865520728,2,1.5037593984962403
80,2019,PA,Pará,Preta,710563.0,8.383838383838384,15,4.643962848297214
81,2019,AP,Amapá,Preta,63688.0,7.63819095477387,2,3.333333333333333
82,2019,TO,Tocantins,Preta,191880.0,12.5,10,8.0
83,2019,MA,Maranhão,Preta,901248.0,12.916246215943492,23,7.876712328767123
84,2019,PI,Piauí,Preta,340288.0,10.420841683366731,18,5.960264900662252
85,2019,CE,Ceará,Preta,538611.0,5.94159113796576,8,1.3445378151260503
86,2019,RN,Rio Grande do Norte,Preta,284067.0,8.124373119358076,4,2.072538860103627
87,2019,PB,Paraíba,Preta,279790.0,7.035175879396985,6,2.73972602739726
88,2019,PE,Pernambuco,Preta,683928.0,7.28744939271255,13,3.0660377358490565
89,2019,SE,Sergipe,Preta,227601.0,9.989909182643794,5,4.464285714285714
90,2019,BA,Bahia,Preta,3386712.0,23.053589484327603,74,12.111292962356792
91,2019,MG,Minas Gerais,Preta,2412012.0,11.422845691382763,113,6.865127582017011
92,2019,ES,Espírito Santo,Preta,425590.0,10.67472306143001,17,7.6923076923076925
93,2019,RJ,Rio de Janeiro,Preta,2416960.0,14.07035175879397,59,10.707803992740471
94,2019,SP,São Paulo,Preta,3581214.0,7.942973523421588,94,4.202056325435851
95,2019,PR,Paraná,Preta,468261.0,4.158215010141988,33,3.6748329621380846
96,2019,SC,Santa Catarina,Preta,221743.0,3.121852970795569,21,2.716688227684347
97,2019,RS,Rio Grande do Sul,Preta,726976.0,6.41925777331996,67,4.755145493257629
98,2019,MS,Mato Grosso do Sul,Preta,159831.0,6.008146639511202,8,3.0534351145038165
99,2019,MT,Mato Grosso,Preta,397996.0,11.752786220871329,15,6.637168141592921
100,2019,GO,Goiás,Preta,617848.0,8.879919273461152,29,5.253623188405797
101,2019,DF,Distrito Federal,Preta,322391.0,10.808080808080808,6,3.061224489795918
102,2020,RO,Rondônia,Preta,108946.0,6.149193548387097,6,4.444444444444445
103,2020,AC,Acre,Preta,39510.0,4.545454545454546,2,2.898550724637681
104,2020,AM,Amazonas,Preta,84924.0,2.158273381294964,7,2.2508038585209005
105,2020,PA,Pará,Preta,596781.0,6.948640483383686,20,5.46448087431694
106,2020,AP,Amapá,Preta,40091.0,4.742684157416751,4,9.090909090909092
