,ano,uf,racacor,TOTAL,percentage_of_total
115,2020,MA,pop_preta,750480.0,10.685483870967742
116,2020,PI,pop_preta,295290.0,9.01803607214429
117,2020,CE,pop_preta,468384.0,5.151515151515151
118,2020,RN,pop_preta,261516.0,7.4074074074074066
119,2020,PB,pop_preta,225008.0,5.628140703517588
120,2020,PE,pop_preta,621335.0,6.578947368421052
121,2020,AL,pop_preta,180576.0,5.454545454545454
122,2020,SE,pop_preta,213348.0,9.246231155778894
123,2020,BA,pop_preta,3325153.0,22.457200402819737
124,2020,MG,pop_preta,2383584.0,11.21121121121121
125,2020,ES,pop_preta,410060.0,10.140562248995984
126,2020,RJ,pop_preta,2292312.0,13.253012048192772
127,2020,SP,pop_preta,3424942.0,7.535641547861507
128,2020,PR,pop_preta,391102.0,3.451776649746193
129,2020,SC,pop_preta,195507.0,2.708124373119358
130,2020,RS,pop_preta,707048.0,6.218655967903711
131,2020,MS,pop_preta,167079.0,6.218144750254842
132,2020,MT,pop_preta,340256.0,9.879032258064516
133,2020,GO,pop_preta,533700.0,7.530120481927711
134,2020,DF,pop_preta,283929.0,9.384460141271443
135,2021,RO,pop_preta,148010.0,8.25780463242699
136,2021,AC,pop_preta,53400.0,6.085192697768763
137,2021,AM,pop_preta,123120.0,3.0800821355236137
138,2021,RR,pop_preta,38412.0,6.947368421052631
139,2021,PA,pop_preta,777415.0,8.98989898989899
140,2021,AP,pop_preta,62568.0,7.236180904522612
141,2021,TO,pop_preta,186498.0,11.866125760649087
142,2021,MA,pop_preta,775862.0,10.99899091826438
143,2021,PI,pop_preta,276276.0,8.41683366733467
144,2021,CE,pop_preta,554280.0,6.048387096774194
145,2021,RN,pop_preta,295563.0,8.324974924774322
146,2021,PB,pop_preta,290736.0,7.2434607645875255
147,2021,PE,pop_preta,711584.0,7.474747474747474
148,2021,AL,pop_preta,208196.0,6.256306760847628
149,2021,SE,pop_preta,240814.0,10.341365461847388
150,2021,BA,pop_preta,3217690.0,21.695257315842582
151,2021,MG,pop_preta,2204303.0,10.32064128256513
152,2021,ES,pop_preta,504915.0,12.361809045226131
153,2021,RJ,pop_preta,2479746.0,14.31451612903226
154,2021,SP,pop_preta,3358296.0,7.317073170731707
155,2021,PR,pop_preta,428608.0,3.737373737373737
156,2021,SC,pop_preta,249118.0,3.413654618473896
157,2021,RS,pop_preta,652536.0,5.717151454363089
158,2021,MS,pop_preta,168848.0,6.180344478216818
159,2021,MT,pop_preta,340664.0,9.80788675429727
160,2021,GO,pop_preta,598347.0,8.341708542713567
161,2021,DF,pop_preta,333936.0,10.909090909090908
162,2019,RO,pop_parda,1122045.0,64.20626895854399
163,2019,AC,pop_parda,641830.0,75.32994923857868
164,2019,AM,pop_parda,3138604.0,80.73770491803278
165,2019,RR,pop_parda,351540.0,69.70021413276231
166,2019,PA,pop_parda,6189603.0,73.03030303030303
167,2019,AP,pop_parda,616768.0,73.96984924623115
168,2019,TO,pop_parda,1032720.0,67.27642276422763
169,2019,MA,pop_parda,4830126.0,69.22300706357215
170,2019,PI,pop_parda,2310032.0,70.74148296593187
171,2019,CE,pop_parda,6070785.0,66.96878147029204
172,2019,RN,pop_parda,1869231.0,53.46038114343029
173,2019,PB,pop_parda,2414188.0,60.7035175879397
174,2019,PE,pop_parda,5756394.0,61.336032388663966
175,2019,AL,pop_parda,2274390.0,69.05965621840244
176,2019,SE,pop_parda,1590908.0,69.82845610494451
177,2019,BA,pop_parda,8555904.0,58.24064711830131
178,2019,MG,pop_parda,10600158.0,50.20040080160321
179,2019,ES,pop_parda,2051665.0,51.46022155085599
180,2019,RJ,pop_parda,7026448.0,40.904522613065325
181,2019,SP,pop_parda,15243116.0,33.80855397148676
182,2019,PR,pop_parda,3631878.0,32.25152129817444
183,2019,SC,pop_parda,1194551.0,16.817724068479357
184,2019,RS,pop_parda,1669773.0,14.744232698094283
185,2019,MS,pop_parda,1338246.0,50.30549898167006
186,2019,MT,pop_parda,2013997.0,59.47315096251267
187,2019,GO,pop_parda,3875592.0,55.70131180625631
188,2019,DF,pop_parda,1464318.0,49.09090909090909
189,2020,RO,pop_parda,1110892.0,62.701612903225815
190,2020,AC,pop_parda,679572.0,78.18181818181819
191,2020,AM,pop_parda,3312036.0,84.17266187050359
192,2020,RR,pop_parda,389596.0,73.22751322751323
193,2020,PA,pop_parda,6486750.0,75.52870090634441
194,2020,AP,pop_parda,672164.0,79.51564076690212
195,2020,TO,pop_parda,1059744.0,68.08510638297872
196,2020,MA,pop_parda,5076360.0,72.27822580645162
197,2020,PI,pop_parda,2368882.0,72.34468937875751
198,2020,CE,pop_parda,6309408.0,69.39393939393939
199,2020,RN,pop_parda,1922496.0,54.454454454454456
200,2020,PB,pop_parda,2507232.0,62.71356783919598
201,2020,PE,pop_parda,6012611.0,63.663967611336034
202,2020,AL,pop_parda,2260544.0,68.28282828282828
203,2020,SE,pop_parda,1660404.0,71.95979899497488
204,2020,BA,pop_parda,8693113.0,58.71097683786506
205,2020,MG,pop_parda,10598436.0,49.849849849849846
206,2020,ES,pop_parda,2094960.0,51.80722891566265
207,2020,RJ,pop_parda,7206890.0,41.66666666666667
208,2020,SP,pop_parda,14810560.0,32.586558044806516
209,2020,PR,pop_parda,3485409.0,30.761421319796955
210,2020,SC,pop_parda,1020981.0,14.142427281845539
211,2020,RS,pop_parda,1471116.0,12.938816449348046
212,2020,MS,pop_parda,1336632.0,49.745158002038735
213,2020,MT,pop_parda,2072784.0,60.181451612903224
214,2020,GO,pop_parda,4070352.0,57.42971887550201
215,2020,DF,pop_parda,1547871.0,51.160443995963675
216,2021,RO,pop_parda,1099245.0,61.329305135951664
217,2021,AC,pop_parda,685300.0,78.09330628803245
218,2021,AM,pop_parda,3287304.0,82.23819301848049
219,2021,RR,pop_parda,394596.0,71.36842105263158
220,2021,PA,pop_parda,6420225.0,74.24242424242425
221,2021,AP,pop_parda,671737.0,77.68844221105527
222,2021,TO,pop_parda,1080732.0,68.76267748478702
223,2021,MA,pop_parda,5068016.0,71.84661957618566
224,2021,PI,pop_parda,2351635.0,71.6432865731463
225,2021,CE,pop_parda,6254126.0,68.24596774193549
226,2021,RN,pop_parda,1862403.0,52.45737211634904
227,2021,PB,pop_parda,2418762.0,60.26156941649899
228,2021,PE,pop_parda,5808064.0,61.01010101010102
229,2021,AL,pop_parda,2169268.0,65.18668012108981
230,2021,SE,pop_parda,1573474.0,67.570281124498
231,2021,BA,pop_parda,8814974.0,59.43491422805247
232,2021,MG,pop_parda,10208277.0,47.795591182364724
233,2021,ES,pop_parda,2134600.0,52.26130653266332
234,2021,RJ,pop_parda,7020126.0,40.524193548387096
235,2021,SP,pop_parda,15298904.0,33.33333333333333
236,2021,PR,pop_parda,3452032.0,30.1010101010101
237,2021,SC,pop_parda,1077069.0,14.759036144578314
238,2021,RS,pop_parda,1511136.0,13.239719157472418
239,2021,MS,pop_parda,1372928.0,50.253292806484296
240,2021,MT,pop_parda,2100176.0,60.46511627906976
241,2021,GO,pop_parda,4231683.0,58.99497487437186
242,2021,DF,pop_parda,1549092.0,50.60606060606061
